"DATE","TIME PERIOD","Long-term interest rate for convergence purposes - 10 years maturity, denominated in Swedish krona - Sweden (IRS.M.SE.L.L40.CI.0000.SEK.N.Z)"
"1993-01-31","1993Jan","10.17"
"1993-02-28","1993Feb","9.83"
"1993-03-31","1993Mar","9.40"
"1993-04-30","1993Apr","9.44"
"1993-05-31","1993May","9.12"
"1993-06-30","1993Jun","8.71"
"1993-07-31","1993Jul","8.27"
"1993-08-31","1993Aug","7.66"
"1993-09-30","1993Sep","7.82"
"1993-10-31","1993Oct","7.59"
"1993-11-30","1993Nov","7.52"
"1993-12-31","1993Dec","7.30"
"1994-01-31","1994Jan","7.05"
"1994-02-28","1994Feb","7.15"
"1994-03-31","1994Mar","7.87"
"1994-04-30","1994Apr","8.64"
"1994-05-31","1994May","8.91"
"1994-06-30","1994Jun","10.01"
"1994-07-31","1994Jul","10.90"
"1994-08-31","1994Aug","11.44"
"1994-09-30","1994Sep","11.41"
"1994-10-31","1994Oct","11.10"
"1994-11-30","1994Nov","11.09"
"1994-12-31","1994Dec","10.84"
"1995-01-31","1995Jan","11.00"
"1995-02-28","1995Feb","10.71"
"1995-03-31","1995Mar","11.17"
"1995-04-30","1995Apr","11.41"
"1995-05-31","1995May","10.74"
"1995-06-30","1995Jun","10.58"
"1995-07-31","1995Jul","10.55"
"1995-08-31","1995Aug","10.22"
"1995-09-30","1995Sep","9.63"
"1995-10-31","1995Oct","9.30"
"1995-11-30","1995Nov","8.99"
"1995-12-31","1995Dec","8.61"
"1996-01-31","1996Jan","8.25"
"1996-02-29","1996Feb","8.77"
"1996-03-31","1996Mar","8.76"
"1996-04-30","1996Apr","8.33"
"1996-05-31","1996May","8.43"
"1996-06-30","1996Jun","8.34"
"1996-07-31","1996Jul","8.26"
"1996-08-31","1996Aug","8.10"
"1996-09-30","1996Sep","7.79"
"1996-10-31","1996Oct","7.19"
"1996-11-30","1996Nov","7.26"
"1996-12-31","1996Dec","6.85"
"1997-01-31","1997Jan","6.74"
"1997-02-28","1997Feb","6.68"
"1997-03-31","1997Mar","7.10"
"1997-04-30","1997Apr","7.24"
"1997-05-31","1997May","7.01"
"1997-06-30","1997Jun","6.80"
"1997-07-31","1997Jul","6.44"
"1997-08-31","1997Aug","6.53"
"1997-09-30","1997Sep","6.38"
"1997-10-31","1997Oct","6.22"
"1997-11-30","1997Nov","6.30"
"1997-12-31","1997Dec","6.03"
"1998-01-31","1998Jan","5.65"
"1998-02-28","1998Feb","5.53"
"1998-03-31","1998Mar","5.35"
"1998-04-30","1998Apr","5.21"
"1998-05-31","1998May","5.20"
"1998-06-30","1998Jun","4.97"
"1998-07-31","1998Jul","4.88"
"1998-08-31","1998Aug","4.80"
"1998-09-30","1998Sep","4.79"
"1998-10-31","1998Oct","4.72"
"1998-11-30","1998Nov","4.55"
"1998-12-31","1998Dec","4.22"
"1999-01-31","1999Jan","4.02"
"1999-02-28","1999Feb","4.18"
"1999-03-31","1999Mar","4.44"
"1999-04-30","1999Apr","4.24"
"1999-05-31","1999May","4.50"
"1999-06-30","1999Jun","4.87"
